Year,State,GDP Per Capital (RM)
2015,Johor,30469
2015,Kedah,18864
2015,Kelantan,12159
2015,Melaka,40582
2015,Negeri Sembilan,36908
2015,Pahang,30754
2015,Pulau Pinang,46020
2015,Perak,25610
2015,Perlis,21540
2015,Selangor,43513
2015,Terengganu,26808
2015,Sabah,19830
2015,Sarawak,45006
2015,WP Kuala Lumpur,97060
2015,WP Labuan,63069
2016,Johor,32894
2016,Kedah,19835
2016,Kelantan,12909
2016,Melaka,42088
2016,Negeri Sembilan,38744
2016,Pahang,32688
2016,Pulau Pinang,48633
2016,Perak,27343
2016,Perlis,22588
2016,Selangor,45506
2016,Terengganu,27434
2016,Sabah,21169
2016,Sarawak,45346
2016,WP Kuala Lumpur,103506
2016,WP Labuan,66348
2017,Johor,35315
2017,Kedah,20961
2017,Kelantan,13695
2017,Melaka,46828
2017,Negeri Sembilan,41739
2017,Pahang,35751
2017,Pulau Pinang,51130
2017,Perak,29341
2017,Perlis,23596
2017,Selangor,49048
2017,Terengganu,29848
2017,Sabah,24639
2017,Sarawak,50177
2017,WP Kuala Lumpur,113358
2017,WP Labuan,70705
2018,Johor,36388
2018,Kedah,21398
2018,Kelantan,13690
2018,Melaka,47900
2018,Negeri Sembilan,43017
2018,Pahang,35577
2018,Pulau Pinang,52921
2018,Perak,30302
2018,Perlis,24408
2018,Selangor,51547
2018,Terengganu,30202
2018,Sabah,25832
2018,Sarawak,52387
2018,WP Kuala Lumpur,121509
2018,WP Labuan,74271
2019,Johor,37377
2019,Kedah,22378
2019,Kelantan,14341
2019,Melaka,49109
2019,Negeri Sembilan,45384
2019,Pahang,36560
2019,Pulau Pinang,55202
2019,Perak,31719
2019,Perlis,25513
2019,Selangor,55030
2019,Terengganu,30929
2019,Sabah,25368
2019,Sarawak,53551
2019,WP Kuala Lumpur,129677
2019,WP Labuan,77799
2020,Johor,33861
2020,Kedah,22701
2020,Kelantan,14956
2020,Melaka,42880
2020,Negeri Sembilan,41292
2020,Pahang,38022
2020,Pulau Pinang,55783
2020,Perak,31633
2020,Perlis,21117
2020,Selangor,48591
2020,Terengganu,29508
2020,Sabah,24657
2020,Sarawak,55907
2020,WP Kuala Lumpur,108985
2020,WP Labuan,80602
2021,Johor,36505
2021,Kedah,23597
2021,Kelantan,15598
2021,Melaka,44679
2021,Negeri Sembilan,44552
2021,Pahang,41335
2021,Pulau Pinang,59733
2021,Perak,34399
2021,Perlis,21522
2021,Selangor,51980
2021,Terengganu,30966
2021,Sabah,30022
2021,Sarawak,66027
2021,WP Kuala Lumpur,112084
2021,WP Labuan,81652
2022,Johor,41058
2022,Kedah,25967
2022,Kelantan,16567
2022,Melaka,50407
2022,Negeri Sembilan,49804
2022,Pahang,47177
2022,Pulau Pinang,69684
2022,Perak,36924
2022,Perlis,23126
2022,Selangor,59908
2022,Terengganu,32199
2022,Sabah,36020
2022,Sarawak,80857
2022,WP Kuala Lumpur,127199
2022,WP Labuan,85560
2023,Johor,41847
2023,Kedah,26387
2023,Kelantan,16914
2023,Melaka,53688
2023,Negeri Sembilan,51702
2023,Pahang,46085
2023,Pulau Pinang,72532
2023,Perak,37026
2023,Perlis,24138
2023,Selangor,62696
2023,Terengganu,31163
2023,Sabah,31235
2023,Sarawak,72283
2023,WP Kuala Lumpur,131165
2023,WP Labuan,83841
2024,Johor,44762
2024,Kedah,27268
2024,Kelantan,17368
2024,Melaka,54553
2024,Negeri Sembilan,53928
2024,Pahang,49617
2024,Pulau Pinang,76033
2024,Perak,38996
2024,Perlis,24695
2024,Selangor,65907
2024,Terengganu,32442
2024,Sabah,30605
2024,Sarawak,73426
2024,WP Kuala Lumpur,136365
2024,WP Labuan,87003
