State,Icon
Johor,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/jhr.svg
Kedah,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/jhr.svg
Kelantan,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/jhr.svg
Melaka,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/jhr.svg
Negeri Sembilan,https://github.com/jwarby/malaysia-state-flag-icon-css/blob/master/flags/1x2/nsn.svg
Pahang,https://github.com/jwarby/malaysia-state-flag-icon-css/blob/master/flags/1x2/phg.svg
Pulau Pinang,https://github.com/jwarby/malaysia-state-flag-icon-css/blob/master/flags/1x2/png.svg
Perak,https://github.com/jwarby/malaysia-state-flag-icon-css/blob/master/flags/1x2/prk.svg
Perlis,https://github.com/jwarby/malaysia-state-flag-icon-css/blob/master/flags/1x2/pls.svg
Selangor,https://github.com/jwarby/malaysia-state-flag-icon-css/blob/master/flags/1x2/sgr.svg
Terengganu,https://github.com/jwarby/malaysia-state-flag-icon-css/blob/master/flags/1x2/trg.svg
Sabah,https://github.com/jwarby/malaysia-state-flag-icon-css/blob/master/flags/1x2/sbh.svg
Sarawak,https://github.com/jwarby/malaysia-state-flag-icon-css/blob/master/flags/1x2/swk.svg
WP Kuala Lumpur,https://raw.githubusercontent.com/jwarby/malaysia-state-flag-icon-css/refs/heads/master/flags/1x2/jhr.svg
WP Labuan,https://github.com/jwarby/malaysia-state-flag-icon-css/blob/master/flags/1x2/lbn.svg
