Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,"$2,962,907,262.57","$2,983,635,195.53","$3,092,429,050.28","$3,276,184,357.54","$3,395,798,882.68","$2,481,857,122.84","$2,929,446,578.25","$3,279,343,543.60","$3,648,573,136.15",
Africa Eastern and Southern,"$898,308,853,395.36","$828,961,170,566.44","$973,025,126,473.89","$1,012,291,194,268.21","$1,009,746,517,725.42","$933,407,232,177.08","$1,085,604,883,589.65","$1,191,638,638,185.25","$1,133,818,271,029.39","$1,205,973,813,871.44"
Afghanistan,"$19,134,221,644.73","$18,116,572,395.08","$18,753,456,497.82","$18,053,222,687.41","$18,799,444,490.11","$19,955,929,052.15","$14,259,995,441.08","$14,497,243,872.13","$17,152,234,636.87",
Africa Western and Central,"$778,022,060,796.81","$700,028,171,710.17","$694,051,344,215.05","$777,840,407,639.93","$833,288,902,800.03","$797,295,175,501.97","$858,114,511,231.43","$893,639,944,629.86","$814,728,528,754.19","$670,025,655,309.60"
Angola,"$90,496,420,506.60","$52,761,617,225.93","$73,690,154,990.73","$79,450,688,259.37","$70,897,962,732.03","$48,501,561,203.57","$66,505,129,987.72","$104,399,746,853.40","$84,875,162,197.01","$80,396,942,241.62"
Albania,"$11,470,171,826.96","$11,988,668,784.66","$13,258,268,435.60","$15,379,508,329.76","$15,585,111,614.04","$15,241,455,556.37","$18,032,009,220.44","$19,017,244,116.72","$23,547,180,412.34","$27,177,735,527.57"
Andorra,"$2,789,881,258.50","$2,896,610,479.73","$3,000,162,081.12","$3,218,419,896.96","$3,155,149,347.81","$2,891,001,149.36","$3,324,647,529.38","$3,380,612,573.33","$3,785,067,331.76","$4,039,844,390.23"
Arab World,"$2,568,631,130,655.53","$2,524,102,874,214.64","$2,598,475,460,609.57","$2,907,329,557,076.05","$2,949,355,029,586.25","$2,596,422,612,311.05","$3,077,906,530,882.01","$3,738,584,480,489.16","$3,606,002,342,262.32","$3,704,768,275,595.84"
United Arab Emirates,"$370,275,469,571.14","$369,255,326,235.53","$390,516,804,029.95","$427,049,432,157.93","$417,989,721,742.68","$349,473,015,330.16","$415,178,792,756.98","$502,731,935,194.01","$514,130,432,648.06","$537,078,829,135.47"
Argentina,"$594,749,285,413.21","$557,532,320,662.96","$643,628,393,281.36","$524,819,892,360.18","$447,754,683,615.23","$385,740,508,436.97","$486,564,085,480.04","$632,790,070,063.12","$646,075,277,525.13","$633,266,692,533.69"
Armenia,"$10,553,337,518.41","$10,546,136,235.52","$11,527,458,709.02","$12,457,940,694.74","$13,619,290,539.21","$12,641,698,583.22","$13,878,908,628.94","$19,513,506,553.13","$24,085,749,592.34","$25,786,585,949.63"
American Samoa,"$673,000,000.00","$671,000,000.00","$612,000,000.00","$639,000,000.00","$647,000,000.00","$721,000,000.00","$750,000,000.00","$871,000,000.00",,
Antigua and Barbuda,"$1,437,485,185.19","$1,489,603,703.70","$1,534,855,555.56","$1,661,529,629.63","$1,726,448,148.15","$1,411,637,037.04","$1,602,125,925.93","$1,866,566,666.67","$2,005,785,185.19","$2,224,814,814.81"
Australia,"$1,351,296,372,254.31","$1,206,836,962,281.84","$1,325,582,658,156.54","$1,427,809,041,019.44","$1,392,723,834,562.64","$1,328,414,058,378.38","$1,556,735,770,437.26","$1,690,858,246,994.43","$1,728,057,316,695.61","$1,752,193,307,380.34"
Austria,"$379,546,097,300.63","$393,687,359,770.27","$414,926,138,132.69","$452,582,294,972.78","$442,983,642,371.84","$434,397,601,557.70","$480,467,037,338.78","$471,773,629,830.38","$511,685,203,845.00","$521,642,466,921.75"
Azerbaijan,"$53,076,235,354.75","$37,866,996,882.92","$40,866,627,351.98","$47,112,470,051.77","$48,174,235,294.12","$42,693,000,000.00","$54,825,411,764.71","$78,807,470,588.24","$72,428,470,588.24","$74,315,882,352.94"
Burundi,"$3,104,003,546.26","$2,644,487,776.50","$2,723,586,962.84","$2,667,182,199.51","$2,576,518,879.82","$2,649,680,261.44","$2,775,798,697.46","$3,338,722,827.66","$2,629,391,599.50","$2,162,378,759.35"
Belgium,"$461,044,767,544.53","$474,271,566,739.73","$500,908,767,351.53","$542,638,913,427.92","$536,726,344,405.49","$529,694,473,501.79","$598,522,422,241.85","$593,614,574,325.88","$644,655,275,111.58","$664,564,181,486.95"
Benin,"$11,388,160,996.77","$11,821,065,853.38","$12,701,655,836.95","$14,262,408,089.93","$14,391,686,313.46","$15,686,741,893.52","$17,687,623,534.67","$17,425,405,083.88","$19,673,290,995.85","$21,482,643,720.27"
Burkina Faso,"$11,832,159,315.63","$12,833,363,045.34","$14,106,955,615.34","$15,890,066,221.29","$16,032,813,503.37","$17,725,010,532.53","$19,697,516,284.38","$18,820,218,690.59","$20,324,617,844.53","$23,250,214,909.54"
Bangladesh,"$195,146,608,978.13","$265,224,515,675.03","$293,732,446,624.60","$321,362,752,441.78","$351,231,654,603.69","$373,979,442,362.19","$416,271,647,911.01","$460,131,689,083.08","$437,415,333,018.29","$450,119,424,622.39"
Bulgaria,"$50,765,918,159.15","$53,929,397,039.21","$59,167,647,387.61","$66,251,582,035.94","$68,634,004,792.10","$70,550,652,466.63","$84,414,122,840.17","$90,509,236,929.22","$102,396,840,296.15","$112,211,952,703.83"
Bahrain,"$32,523,297,872.34","$33,884,680,851.06","$37,204,813,829.79","$39,567,978,723.40","$40,446,808,510.64","$35,837,632,978.72","$40,840,212,765.96","$46,458,191,489.36","$46,192,260,638.30","$47,736,702,127.66"
Bahamas,"$11,837,600,000.00","$11,880,900,000.00","$12,446,900,000.00","$12,819,200,000.00","$13,277,000,000.00","$10,363,200,000.00","$12,037,000,000.00","$13,896,800,000.00","$15,271,300,000.00","$15,832,800,000.00"
Bosnia and Herz.,"$16,404,348,871.44","$17,116,926,327.62","$18,326,373,366.11","$20,484,053,868.92","$20,482,608,755.38","$20,226,036,564.41","$23,672,712,242.21","$24,534,663,636.18","$27,592,361,387.86","$28,343,394,203.47"
Belarus,"$56,454,769,844.76","$47,723,545,321.26","$54,725,405,751.16","$60,031,026,576.26","$64,410,170,653.46","$61,371,673,344.74","$69,673,747,131.87","$73,775,179,924.60","$72,478,760,370.43","$75,961,865,471.91"
Belize,"$2,193,050,000.00","$2,240,200,000.00","$2,266,300,000.00","$2,293,250,000.00","$2,388,300,000.00","$2,042,850,000.00","$2,420,550,000.00","$2,846,700,000.00","$3,066,850,000.00","$3,515,783,328.91"
Bermuda,"$6,654,541,000.00","$6,899,911,000.00","$7,142,316,000.00","$7,225,977,000.00","$7,423,465,000.00","$6,887,364,000.00","$7,290,037,000.00","$7,874,381,000.00","$8,579,242,000.00","$8,980,200,000.00"
Bolivia,"$33,000,198,248.91","$33,941,126,193.92","$37,508,642,170.77","$40,287,647,930.54","$40,895,322,850.94","$36,629,843,806.08","$40,406,111,693.20","$44,008,282,879.88","$45,135,398,002.89","$49,668,296,743.85"
Brazil,"$1,802,212,206,814.50","$1,795,693,482,853.01","$2,063,514,977,365.65","$1,916,933,898,010.99","$1,873,288,205,059.69","$1,476,107,231,310.49","$1,670,647,398,904.90","$1,951,923,942,083.32","$2,191,131,765,684.63","$2,179,412,080,828.59"
Barbados,"$5,288,057,750.00","$5,330,761,500.00","$5,517,340,450.00","$5,629,916,200.00","$5,788,288,000.00","$5,168,344,450.00","$5,275,242,050.00","$6,257,303,500.00","$6,720,733,200.00","$7,165,000,000.00"
Brunei Darussalam,"$12,930,296,852.49","$11,400,266,055.32","$12,128,168,046.78","$13,566,908,401.19","$13,469,235,348.22","$12,005,799,664.27","$14,006,496,614.32","$16,681,536,442.55","$15,095,084,686.17","$15,463,134,387.20"
Bhutan,"$2,187,815,803.37","$2,357,504,760.79","$2,591,358,009.20","$2,583,335,721.86","$2,735,683,570.46","$2,457,604,333.91","$2,768,802,960.11","$2,898,227,743.76","$3,019,253,885.47",
Botswana,"$13,530,748,844.51","$15,082,637,184.05","$16,105,155,856.77","$17,031,943,186.14","$16,725,908,148.55","$14,960,251,610.90","$18,750,182,234.53","$20,321,150,598.07","$19,411,266,967.10","$19,400,774,882.45"
Central African Rep.,"$1,695,825,714.19","$1,825,018,144.66","$2,072,349,972.68","$2,220,979,146.11","$2,221,301,351.44","$2,326,720,900.38","$2,516,498,412.46","$2,382,618,615.02","$2,555,492,085.95","$2,751,544,520.38"
Canada,"$1,556,508,816,217.14","$1,527,994,741,907.43","$1,649,265,644,244.09","$1,725,329,192,783.02","$1,743,725,183,672.52","$1,655,684,730,000.19","$2,022,378,748,423.23","$2,190,411,080,134.32","$2,173,339,670,064.33","$2,241,253,230,970.34"
