Year,State,Agriculture,Mining and Quarrying,Manufacturing,Construction,Services,Others
2015,Johor,14.191,0.432,29.416,6.608,48.234,1.118
2015,Kedah,13.713,0.21,28.893,2.181,54.274,0.729
2015,Kelantan,23.832,1.07,5.36,2.077,67.521,0.14
2015,Melaka,11.479,0.122,38.995,2.625,46.597,0.182
2015,Negeri Sembilan,8.051,0.412,39.014,3.333,47.158,2.033
2015,Pahang,23.59,2.652,21.066,4.257,48.301,0.134
2015,Pulau Pinang,2.667,0.159,42.992,3.47,49.801,0.911
2015,Perak,16.385,0.56,17.713,4.081,61.144,0.116
2015,Perlis,21.691,0.592,8.56,3.61,63.784,1.764
2015,Selangor,1.516,0.185,28.099,6.203,60.994,3.003
2015,Terengganu,8.883,0.468,36.294,2.904,51.294,0.157
2015,Sabah,20.083,24.679,8.493,3.316,43.042,0.387
2015,Sarawak,13.972,24.553,26.424,3.16,31.558,0.333
2015,Kuala Lumpur,0,0.065,3.119,7.141,88.327,1.348
2015,Labuan,1.969,0,19.477,2.474,74.848,1.232
2016,Johor,12.881,0.488,29.243,7.695,48.222,1.471
2016,Kedah,12.641,0.233,28.997,2.425,54.923,0.782
2016,Kelantan,23.525,1.144,5.214,2.56,67.446,0.11
2016,Melaka,11.435,0.139,38.783,2.645,46.816,0.182
2016,Negeri Sembilan,7.317,0.473,38.622,3.51,47.822,2.255
2016,Pahang,22.001,1.727,21.268,5.359,49.48,0.164
2016,Pulau Pinang,2.41,0.164,42.926,3.618,49.903,0.98
2016,Perak,15.391,0.627,17.818,4.224,61.8,0.141
2016,Perlis,21.547,0.509,8.054,3.807,64.258,1.825
2016,Selangor,1.374,0.228,27.927,5.763,61.691,3.016
2016,Terengganu,8.344,0.496,37.706,2.862,50.437,0.155
2016,Sabah,17.099,28.371,7.788,3.041,43.312,0.389
2016,Sarawak,13.358,23.494,26.958,2.918,32.914,0.358
2016,Kuala Lumpur,0,0.067,3.024,7.571,88.051,1.286
2016,Labuan,1.785,0,19.585,1.88,75.552,1.198
2017,Johor,13.087,0.531,29.512,6.804,48.558,1.509
2017,Kedah,12.69,0.254,28.907,2.155,55.282,0.711
2017,Kelantan,23.305,1.278,5.437,2.216,67.652,0.112
2017,Melaka,11.328,0.139,38.258,4.213,45.587,0.475
2017,Negeri Sembilan,7.58,0.495,38.009,3.916,47.736,2.264
2017,Pahang,22.446,1.299,21.123,5.918,48.945,0.269
2017,Pulau Pinang,2.345,0.166,43.133,3.099,50.085,1.172
2017,Perak,15.781,0.632,18.304,3.048,62.056,0.179
2017,Perlis,21.933,0.539,8.055,2.128,65.375,1.971
2017,Selangor,1.429,0.229,28.116,5.818,61.557,2.85
2017,Terengganu,8.598,0.512,37.042,3.755,49.785,0.308
2017,Sabah,16.568,30.361,7.593,2.772,42.287,0.42
2017,Sarawak,12.851,23.211,26.743,3.345,33.449,0.4
2017,Kuala Lumpur,0,0.071,2.847,7.957,87.399,1.725
2017,Labuan,1.749,0,19.08,2,75.003,2.168
2018,Johor,12.441,0.545,29.358,7.058,49.318,1.28
2018,Kedah,12.204,0.257,28.63,2.252,56.031,0.627
2018,Kelantan,22.494,1.489,5.307,1.344,69.26,0.107
2018,Melaka,10.778,0.146,38.548,3.529,46.561,0.437
2018,Negeri Sembilan,7.272,0.489,37.659,4.192,48.423,1.964
2018,Pahang,22.062,1.253,21.663,4.262,50.549,0.211
2018,Pulau Pinang,2.158,0.171,43.249,2.871,50.552,0.998
2018,Perak,15.054,0.631,18.104,3.2,62.865,0.147
2018,Perlis,21.415,0.554,7.912,2.502,65.946,1.672
2018,Selangor,1.403,0.228,28.196,5.769,61.978,2.426
2018,Terengganu,8.172,0.526,37.475,3.333,50.311,0.184
2018,Sabah,16.276,28.224,7.662,3.433,44.021,0.385
2018,Sarawak,12.491,22.274,26.749,3.31,34.819,0.357
2018,Kuala Lumpur,0,0.066,2.663,7.917,87.799,1.555
2018,Labuan,1.734,0,18.836,2.154,75.649,1.626
2019,Johor,12.221,0.605,29.894,4.991,51.091,1.199
2019,Kedah,12.053,0.268,28.671,2.328,56.204,0.477
2019,Kelantan,22.818,1.636,5.104,1.504,68.822,0.117
2019,Melaka,10.172,0.156,38.42,3.115,47.995,0.142
2019,Negeri Sembilan,7.405,0.491,36.704,3.836,50.043,1.521
2019,Pahang,21.989,1.403,21.848,2.955,51.711,0.094
2019,Pulau Pinang,2.185,0.181,42.802,2.794,51.398,0.64
2019,Perak,14.886,0.664,18.006,3.277,63.125,0.042
2019,Perlis,21.685,0.542,7.647,2.709,66.245,1.172
2019,Selangor,1.365,0.249,27.809,5.989,62.128,2.46
2019,Terengganu,8.378,0.558,36.37,3.237,51.413,0.044
2019,Sabah,16.019,26.548,7.557,3.618,46.039,0.219
2019,Sarawak,12.122,21.946,26.772,3.273,35.655,0.233
2019,Kuala Lumpur,0,0.065,2.617,7.9,87.826,1.591
2019,Labuan,1.748,0,18.15,2.324,77.363,0.414
2020,Johor,13.162,0.513,30.179,3.26,51.85,1.036
2020,Kedah,11.984,0.243,29.579,2.417,55.24,0.538
2020,Kelantan,23.097,1.357,4.899,1.574,68.979,0.094
2020,Melaka,11.171,0.144,37.344,2.418,48.67,0.252
2020,Negeri Sembilan,7.162,0.431,36.173,2.957,51.411,1.866
2020,Pahang,23.688,1.118,22.312,2.463,50.281,0.137
2020,Pulau Pinang,2.21,0.15,44.909,2.41,49.604,0.716
2020,Perak,15.392,0.582,19.062,2.77,62.125,0.069
2020,Perlis,18.803,0.52,7.675,2.603,69.701,0.699
2020,Selangor,1.445,0.231,29.104,5.711,61.238,2.271
