Date,Agriculture,Mining and Quarrying,Manufacturing,Construction
Mar 1 2015,"22,254","27,947","62,404","13,467"
Jun 1 2015,"24,448","26,058","65,345","12,691"
Sep 1 2015,"27,001","23,741","66,528","13,985"
Dec 1 2015,"24,424","25,972","68,854","14,107"
Mar 1 2016,"22,554","26,273","64,594","14,979"
Jun 1 2016,"25,552","25,768","67,637","14,209"
Sep 1 2016,"29,980","23,769","68,698","15,501"
Dec 1 2016,"28,443","28,785","72,592","15,225"
Mar 1 2017,"28,359","32,559","71,218","16,376"
Jun 1 2017,"28,078","30,023","75,257","15,771"
Sep 1 2017,"32,013","28,472","76,498","16,808"
Dec 1 2017,"30,404","31,962","78,477","16,370"
Mar 1 2018,"26,877","34,657","74,379","17,365"
Jun 1 2018,"26,239","34,018","78,103","16,688"
Sep 1 2018,"29,659","33,260","79,907","17,768"
Dec 1 2018,"27,836","35,611","81,423","16,988"
Mar 1 2019,"25,729","34,448","76,600","17,935"
Jun 1 2019,"25,349","34,787","81,094","17,376"
Sep 1 2019,"29,896","29,281","82,076","18,149"
Dec 1 2019,"28,568","32,567","84,092","17,608"
Mar 1 2020,"25,326","31,032","79,252","16,826"
Jun 1 2020,"26,523","21,180","66,000","9,698"
Sep 1 2020,"32,418","21,224","83,927","15,938"
Dec 1 2020,"31,566","22,736","86,181","15,195"
Mar 1 2021,"30,066","29,823","85,276","15,081"
Jun 1 2021,"34,743","32,231","86,697","13,841"
Sep 1 2021,"40,420","28,644","89,026","12,929"
Dec 1 2021,"42,924","33,657","100,826","13,803"
Mar 1 2022,"39,960","42,540","97,604","14,809"
Jun 1 2022,"44,159","47,081","101,982","14,891"
Sep 1 2022,"39,959","44,033","108,263","15,530"
Dec 1 2022,"36,777","42,594","111,048","15,594"
Mar 1 2023,"32,430","42,329","103,904","16,161"
Jun 1 2023,"33,518","38,414","101,402","16,186"
Sep 1 2023,"39,187","34,831","105,776","17,045"
Dec 1 2023,"36,506","38,527","108,812","16,552"
Mar 1 2024,"34,127","44,550","104,709","18,280"
Jun 1 2024,"37,653","41,985","106,681","19,140"
Sep 1 2024,"42,221","33,134","111,777","20,622"
Dec 1 2024,"43,065","34,071","111,605","20,037"
