Year,Agriculture,Mining and Quarrying,Manufacturing,Construction
2015,"97,539","103,059","262,379","55,382"
2016,"105,756","103,959","272,396","61,089"
2017,"117,995","121,326","299,797","66,552"
2018,"108,757","134,833","311,676","70,048"
2019,"109,542","131,084","323,862","71,067"
2020,"115,834","96,172","315,360","57,657"
2021,"148,152","124,355","361,826","55,654"
2022,"160,856","176,249","418,898","60,824"
2023,"141,641","154,101","419,893","65,944"
2024,"157,066","153,740","434,772","78,079"
