state,date,sex,population
Johor,1/1/2015,female,1700500
Johor,1/1/2015,male,1909800
Johor,1/1/2016,female,1720700
Johor,1/1/2016,male,1931100
Johor,1/1/2017,female,1744500
Johor,1/1/2017,male,1952600
Johor,1/1/2018,female,1773000
Johor,1/1/2018,male,1976400
Johor,1/1/2019,female,1786600
Johor,1/1/2019,male,1974600
Johor,1/1/2020,female,1868400
Johor,1/1/2020,male,2141300
Johor,1/1/2021,female,1881100
Johor,1/1/2021,male,2138800
Johor,1/1/2022,female,1890000
Johor,1/1/2022,male,2138200
Johor,1/1/2023,female,1914800
Johor,1/1/2023,male,2192400
Johor,1/1/2024,female,1938700
Johor,1/1/2024,male,2245600
Kedah,1/1/2015,female,1033400
Kedah,1/1/2015,male,1063100
Kedah,1/1/2016,female,1044100
Kedah,1/1/2016,male,1075600
Kedah,1/1/2017,female,1055200
Kedah,1/1/2017,male,1088700
Kedah,1/1/2018,female,1065100
Kedah,1/1/2018,male,1097800
Kedah,1/1/2019,female,1072300
Kedah,1/1/2019,male,1101500
Kedah,1/1/2020,female,1044100
Kedah,1/1/2020,male,1087300
Kedah,1/1/2021,female,1055900
Kedah,1/1/2021,male,1095800
Kedah,1/1/2022,female,1061900
Kedah,1/1/2022,male,1101200
Kedah,1/1/2023,female,1073200
Kedah,1/1/2023,male,1116100
Kedah,1/1/2024,female,1084500
Kedah,1/1/2024,male,1132600
Kelantan,1/1/2015,female,873000
Kelantan,1/1/2015,male,887600
Kelantan,1/1/2016,female,890100
Kelantan,1/1/2016,male,906700
Kelantan,1/1/2017,female,905800
Kelantan,1/1/2017,male,923200
Kelantan,1/1/2018,female,920600
Kelantan,1/1/2018,male,939900
Kelantan,1/1/2019,female,931700
Kelantan,1/1/2019,male,952100
Kelantan,1/1/2020,female,892400
Kelantan,1/1/2020,male,900100
Kelantan,1/1/2021,female,902600
Kelantan,1/1/2021,male,909700
Kelantan,1/1/2022,female,912000
Kelantan,1/1/2022,male,918500
Kelantan,1/1/2023,female,925800
Kelantan,1/1/2023,male,934000
Kelantan,1/1/2024,female,939000
Kelantan,1/1/2024,male,949000
Melaka,1/1/2015,female,441100
Melaka,1/1/2015,male,447900
Melaka,1/1/2016,female,447700
Melaka,1/1/2016,male,453400
Melaka,1/1/2017,female,453900
Melaka,1/1/2017,male,459200
Melaka,1/1/2018,female,458900
Melaka,1/1/2018,male,463600
Melaka,1/1/2019,female,462500
Melaka,1/1/2019,male,465900
Melaka,1/1/2020,female,473500
Melaka,1/1/2020,male,524900
Melaka,1/1/2021,female,477100
Melaka,1/1/2021,male,527400
Melaka,1/1/2022,female,479800
Melaka,1/1/2022,male,528800
Melaka,1/1/2023,female,486400
Melaka,1/1/2023,male,541900
Melaka,1/1/2024,female,492600
Melaka,1/1/2024,male,554100
Negeri Sembilan,1/1/2015,female,525100
Negeri Sembilan,1/1/2015,male,563700
Negeri Sembilan,1/1/2016,female,530200
Negeri Sembilan,1/1/2016,male,569100
Negeri Sembilan,1/1/2017,female,537100
Negeri Sembilan,1/1/2017,male,576800
Negeri Sembilan,1/1/2018,female,542100
Negeri Sembilan,1/1/2018,male,580800
Negeri Sembilan,1/1/2019,female,545600
Negeri Sembilan,1/1/2019,male,580600
Negeri Sembilan,1/1/2020,female,576000
Negeri Sembilan,1/1/2020,male,624000
Negeri Sembilan,1/1/2021,female,579900
Negeri Sembilan,1/1/2021,male,624200
Negeri Sembilan,1/1/2022,female,582700
Negeri Sembilan,1/1/2022,male,625100
Negeri Sembilan,1/1/2023,female,589500
Negeri Sembilan,1/1/2023,male,635400
Negeri Sembilan,1/1/2024,female,595300
Negeri Sembilan,1/1/2024,male,644100
Pahang,1/1/2015,female,749700
